"TABLE_NAME","COLUMN_NAME","CNTITLE","CNNAME","DATA_TYPE","DATA_LENGTH","DATA_PRECISION","DATA_SCALE","IS_PK"
"AA_ZX_CURRENT_STQTY","GOODSID","","","NUMBER","22","10","0","N"
"AA_ZX_CURRENT_STQTY","ENTRYID","","","NUMBER","22","10","0","N"
"AA_ZX_CURRENT_STQTY","BATCHID","","","NUMBER","22","10","0","N"
"AA_ZX_CURRENT_STQTY","LOTID","","","NUMBER","22","10","0","N"
"AA_ZX_CURRENT_STQTY","LOTNO","","","VARCHAR2","200","","","N"
"AA_ZX_CURRENT_STQTY","GOODSQTY","","","NUMBER","22","","","N"
"AA_ZX_CURRENT_STQTY","L_MONEY","","","NUMBER","22","","","N"
"AA_ZX_CURRENT_STQTY","NOTAXMONEY","","","NUMBER","22","","","N"
"AA_ZX_CURRENT_STQTY","CREDATE","","","DATE","7","","","N"
"AA_ZX_CURRENT_STQTY","CLS_ENTITYID","","","NUMBER","22","","","N"
"ADDRESS","TRANPOSID","","","NUMBER","22","10","0","N"
"ADDRESS","OPCODE","操作码","操作码","VARCHAR2","20","","","N"
"ADDRESS","COMPANYID","生产厂商ID","生产厂商ID","NUMBER","22","10","0","N"
"ADDRESS","TRANPOSNAME","","","VARCHAR2","100","","","N"
"ADDRESS","POSORDER","","","NUMBER","22","3","0","N"
"ADDRESS","TRANPOSTYPE","","","NUMBER","22","2","0","N"
"ADDRESS","DISTANCE","","","NUMBER","22","5","0","N"
"ADDRESS","ADDRESS","住址","住址","VARCHAR2","100","","","N"
"ADDRESS","TELEPHONE","公司电话","公司电话","VARCHAR2","40","","","N"
"ADDRESS","FAX","传真","传真","VARCHAR2","40","","","N"
"ADDRESS","POSTCODE","邮编","邮编","VARCHAR2","10","","","N"
"ADDRESS","CONTRACTMAN","","","VARCHAR2","100","","","N"
"ADDRESS","USESTATUS","总单状态","总单状态","NUMBER","22","2","0","N"
"ADDRESS","MEMO","总单备注","总单备注","VARCHAR2","200","","","N"
"ADDRESS","TRANSLINEID","","","NUMBER","22","10","0","N"
"ADDRESS","TRANSORTNO","","","NUMBER","22","10","0","N"
"ADDRESS","DEFAULTFLAG","","","NUMBER","22","1","0","N"
"API_DYYYTOERP_GOODSMSG","UUID","","","VARCHAR2","200","","","Y"
"API_DYYYTOERP_GOODSMSG","PHYSICCODE","","","VARCHAR2","200","","","N"
"API_DYYYTOERP_GOODSMSG","PHYSICNAME","","","VARCHAR2","500","","","N"
"API_DYYYTOERP_GOODSMSG","PHYSICSPEC","","","VARCHAR2","500","","","N"
"API_DYYYTOERP_GOODSMSG","APPROVALNO","","","VARCHAR2","500","","","N"
"API_DYYYTOERP_GOODSMSG","FACTORY","","","VARCHAR2","500","","","N"
"API_DYYYTOERP_GOODSMSG","PRICEUNIT","","","VARCHAR2","50","","","N"
"API_DYYYTOERP_GOODSMSG","PHYSICUNIT","","","VARCHAR2","50","","","N"
"API_DYYYTOERP_GOODSMSG","CREDATE","","","DATE","7","","","N"
"API_DYYYTOERP_GOODSMSG","EXECDATE","","","DATE","7","","","N"
"API_DYYYTOERP_GOODSMSG","EXECFLAG","","","NUMBER","22","1","0","N"
"API_DYYYTOERP_GOODSMSG","EXECMSG","","","VARCHAR2","1000","","","N"
"API_DYYYTOERP_GOODSMSG","IMPORTPRICE","","","VARCHAR2","100","","","N"
"AP_GOODS_COMPANY","ERPID","","","NUMBER","22","10","0","N"
"AP_GOODS_COMPANY","WMSID","","","VARCHAR2","100","","","N"
"AP_GOODS_COMPANY","WMSSTATUS","","","NUMBER","22","1","0","N"
"AP_GOODS_COMPANY","LX","","","NUMBER","22","1","0","N"
"AP_GOODS_COMPANY","MEMO","","","VARCHAR2","2000","","","N"
"AP_GOODS_COMPANY","ENTRYID","","","NUMBER","22","10","0","N"
"AP_GOODS_COMPANY","SEQID","","","NUMBER","22","10","0","Y"
"AP_GOODS_COMPANY","ERRORJSON","","","VARCHAR2","4000","","","N"
"AP_KCQUERY_FLAG","FLAG","","","NUMBER","22","","","N"
"AP_KCQUERY_FLAG","LX","","","VARCHAR2","20","","","Y"
"AP_KCQUERY_TMP","COMPANYCODE","","","VARCHAR2","10","","","N"
"AP_KCQUERY_TMP","MATERIALNO","","","VARCHAR2","20","","","N"
"AP_KCQUERY_TMP","MATERIALNAME","","","VARCHAR2","100","","","N"
"AP_KCQUERY_TMP","SPEC","","","VARCHAR2","50","","","N"
"AP_KCQUERY_TMP","QTY","","","NUMBER","22","18","6","N"
"AP_KCQUERY_TMP","BATCHNO","","","VARCHAR2","20","","","N"
"AP_KCQUERY_TMP","QUALITYSTATUS","","","VARCHAR2","10","","","N"
"AP_KCQUERY_TMP","LOTNUM","","","VARCHAR2","20","","","N"
"AP_KCQUERY_TMP","LOCATIONID","","","VARCHAR2","20","","","N"
"AP_KCQUERY_TMP","ADDTIME","","","DATE","7","","","N"
"AP_YKJYDTL_TMP","ITEMNO","","","VARCHAR2","50","","","N"
"AP_YKJYDTL_TMP","MATERIALNO","","","VARCHAR2","50","","","N"
"AP_YKJYDTL_TMP","BATCHNO","","","VARCHAR2","50","","","N"
"AP_YKJYDTL_TMP","RECIEPTQTY","","","VARCHAR2","50","","","N"
"AP_YKJYDTL_TMP","ADDTIME","","","DATE","7","","","N"
"AP_YKJYDTL_TMP","RECEIVENO","","","VARCHAR2","50","","","N"
"A_HTS_TMP","GOODSID","","","NUMBER","22","","","Y"
