"TABLENAME","CNNAME","KINDS","PKCOLUMN","MEMO"
"BMS_ST_IO_DTL_TMP_V","临时出库细单视图","2","",""
"BMS_ST_IO_DTL_UNIT_QRY_V","","2","",""
"BMS_TR_PICK_TO_MAN_V","","2","",""
"BMS_TR_POS_DEF","运输地点表","1","TRANPOSID",""
"BMS_TR_POS_DEF_V","运输地点视图","2","",""
"BMS_TRANSCONTROL_DOC","","1","ROADID",""
"BMS_TRANSCONTROL_DOC_V","","2","",""
"BMS_TRANSCONTROL_DTL","","1","ROADDTLID",""
"BMS_TRANSCONTROL_DTL_V","","2","",""
"BMS_TRANSCONTROL_RETURN_V","","2","",""
"BMS_TRTOTRAN_TICK","","1","",""
"BMS_WF_INSTANCE_QRY_V","审批流实例查询","2","",""
"BMS_ZW_CHECK_SQL","核算数据校验SQL定制","1","CHECKED",""
"BMS_ZW_CHECK_SQL_V","数据校验sql定制视图","2","",""
"BMS_ENTRY_GOODS_APPROVE","","1","APPROVEID",""
"NP_QF","","1","PID",""
"NP_QF_ACTION","","1","ACTIONID",""
"NP_QF_DATA","","1","DATAID",""
"NP_QF_INSTANCE","","1","INSTID",""
"NP_QF_INSTANCE_DTL","","1","INSTDTLID",""
"EMF_DEVICE_DEF","","1","DEVID",""
"EMF_ELABEL_ADDRESS","","1","PKID",""
"EMF_ELABEL_ADDRESS_V","","2","",""
"EMF_ELABEL_ORDER","","1","LADDRESS",""
"EMF_ELABEL_PICKUP_DTL_V","","2","",""
"EMF_RF_MAN","","1","RFMANID,POSMATCHCODE",""
"EMF_RF_MAN_V","","2","",""
"EMF_RFLIST_CARRYIN","","1","RGGOODSDTLID",""
"EMF_RFLIST_CARRYIN_PRT_V","","2","",""
"EMF_RFLIST_PICKUP","","1","STIODTLID",""
"EMF_SAMPLING_ADDRESS","","1","LADDRESSID",""
"EMF_SAMPLING_ADDRESS_V","","2","",""
"EMF_SAMPLING_POINT","","1","POINTID",""
"EMF_SAMPLING_RECORD","","1","RECORDID",""
"EMF_SAMPLING_RECORD_V","","2","",""
"GPCS_ACCEPTRETURN","","1","ACCEPTRETURNID",""
"GPCS_ACCEPTRETURN_DTLQRY_V","","2","",""
"GPCS_ACCEPTRETURN_V","","2","",""
"GPCS_ACCEPTRETURNDTL","","1","ACCEPTRETURNDTLID",""
"GPCS_ACCEPTRETURNDTL_V","","2","",""
"GPCS_ALLINVALID_DEF","","1","INVALIDPERIOD",""
"GPCS_ALLOT_RETURNTOSUPPLY","调拨单配送单关系表","1","ALLOTID","记录调拨单和由其生成的向调入门店的配送单之间关系"
"GPCS_CANCELPRICE_DOC","取消门店定价总单","1","DOCID",""
"GPCS_CANCELPRICE_DOC_V","取消门店定价总单视图","2","",""
"GPCS_CANCELPRICE_DTL","取消门店定价细单视图","1","DTLID",""
"GPCS_CANCELPRICE_DTL_V","取消门店定价细单视图","2","",""
"GPCS_CENTER_SPREAD_DOC","铺货总单","1","SPREADDOCID",""
"GPCS_CENTER_SPREAD_DOC_V","铺货总单视图","2","",""
"GPCS_CENTER_SPREAD_DTL","铺货细单","1","SPREADDTLID",""
"GPCS_CENTER_SPREAD_DTL_V","铺货细单视图","2","",""
"GPCS_DIRECT_SUPPLY_DOC_V","按货源直配总单","2","",""
"GPCS_DIRECT_SUPPLY_INFO","","1","INFOID",""
"GPCS_DIRECT_SUPPLY_INFO_V","","2","",""
"GPCS_ENTRY_PLACEPOINT","配送关系定义","1","ENTRYTOPOINTID",""
"GPCS_ENTRY_PLACEPOINT_V","定义配送关系","2","",""
"GPCS_FORBID_REQGOODS","门店禁请货品","1","FORBIDID",""
"GPCS_FORBID_REQGOODS_V","门店禁请货品","2","",""
"GPCS_GOODS_DTL_HOV_V","","2","",""
"GPCS_GOODS_TO_SHOPPE","货品专柜对应关系","1","SHOPPEGOODSID",""
"GPCS_GOODS_TO_SHOPPE_V","货品专柜对应关系","2","",""
"GPCS_INSCARD_RETCENTER_V","","2","",""
"GPCS_INSCARDTYPE_RETAILCENTER","","1","INSRETAILCENID",""
"GPCS_INSIDER","会员资料","1","INSIDERID",""
"GPCS_INSIDER_CARDTYPE","会员卡类型策略","1","INSCARDTYPEID",""
"GPCS_INSIDER_CARDTYPE_V","会员卡类型","2","",""
"GPCS_INSIDER_IMP_TMP","","1","TMPID",""
"GPCS_INSIDER_INTEGRAL_V","会员积分","2","",""
"GPCS_INSIDER_INTEGRALINFO","会员积分信息表","1","INFOID",""
"GPCS_INSIDER_INTEGRALINFO_V","","2","",""
"GPCS_INSIDER_INTEGRALINIT","","1","INITID",""
"GPCS_INSIDER_INTEGRALINIT_V","","2","",""
"GPCS_INSIDER_PRIMIUM","会员奖励申请","1","PRIMIUMID",""
"GPCS_INSIDER_PRIMIUM_C_V","","2","",""
"GPCS_INSIDER_PRIMIUM_V","会员奖励申请","2","",""
"GPCS_INSIDER_QUESTION","","1","SEQID",""
"GPCS_INSIDER_V","会员资料","2","",""
"GPCS_INSUPGRADE","会员卡升级信息表","1","UPGRADEID",""
"GPCS_INSUPGRADE_V","会员升级记录","2","",""
"GPCS_LOWTMPER_GOODS_STORE","","1","SEQID",""
"GPCS_LOWTMPER_GOODS_STORE_V","","2","",""
"GPCS_NEWPOINT_REQTYPE","新店请货分类","1","REQTYPEID",""
"GPCS_NEWPOINT_REQTYPE_TMP","","1","REQTYPE_ID",""
"GPCS_NEWPOINT_REQTYPE_TMP_V","","2","",""
"GPCS_NEWPOINT_REQTYPE_V","新店请货分类","2","",""
"GPCS_PLACE_ACCEPT_DOC","收货管理总单","1","ACCEPTDOCID",""
"GPCS_PLACE_ACCEPT_DOC_V","收货管理总单","2","",""
"GPCS_PLACE_ACCEPT_DTL","收货管理细单","1","ACCEPTDTLID",""
"GPCS_PLACE_ACCEPT_DTL_V","收货管理细单","2","",""
"GPCS_PLACE_GOODS_INVALID","","1","SEQID",""
"GPCS_PLACE_INVALID","","1","SEQID",""
"GPCS_PLACE_INVALID_V","","2","",""
"GPCS_PLACE_LOTVALIDDAYS_DEF_V","","2","",""
"GPCS_PLACE_POSTCENTER_DOC","配送过账设置总单","1","POSTDOCID",""
"GPCS_PLACE_POSTCENTER_DOC_V","配送过账设置总单","2","",""
"GPCS_PLACE_POSTCENTER_DTL","配送过账设置细单","1","POSTDTLID",""
"GPCS_PLACE_POSTCENTER_DTL_V","配送过账设置细单","2","",""
"GPCS_PLACE_TO_BILL","配送单生成的业务单据","1","SEQID",""
"GPCS_PLACEACCEPTDTL_QRY_V","","2","",""
"GPCS_PLACEACCTORETURN","","1","ACCEPTDTLID",""
"GPCS_PLACECENTER","","1","PLACECENTERID",""
"GPCS_PLACECENTER_TO_POINT","","1","PLACECENTERTOPOINTID",""
"GPCS_PLACECENTER_TO_POINT_V","","2","",""
"GPCS_PLACECENTER_V","","2","",""
"GPCS_PLACECENTERANDPOINT_HOV_V","","2","",""
