"stat_month","storeid","store_type","total_sales_qty","total_begin_qty","total_end_qty","avg_inventory_qty","turnover_ratio"
"2023-01-01","109760",院外店,52436.7573,84177.3420,93080.5518,88628.94690000,0.59164369
"2023-01-01","128540",院外店,41061.2680,50749.7920,68642.9240,59696.35800000,0.68783539
"2023-01-01","130091",社区店,24054.2000,15838.0000,29229.2000,22533.60000000,1.06748144
"2023-01-01","154849",社区店,42966.8400,37215.9528,67100.2328,52158.09280000,0.82378088
"2023-01-01","163093",社区店,30241.8400,86420.6600,157864.8200,122142.74000000,0.24759424
"2023-01-01","165872",院外店,14796.8840,41199.2240,58556.3400,49877.78200000,0.29666283
"2023-01-01","16864",社区店,82678.0160,49277.5720,50491.7120,49884.64200000,1.65738417
"2023-01-01","16865",社区店,79297.0000,72012.6400,76430.0400,74221.34000000,1.06838545
"2023-01-01","16866",社区店,39582.4160,150779.9404,160985.8176,155882.87900000,0.25392407
"2023-01-01","16867",社区店,124662.1600,12553.5000,25014.2400,18783.87000000,6.63666007
"2023-01-01","16869",院外店,84247.5600,210711.0400,267250.5600,238980.80000000,0.35252857
"2023-01-01","16870",社区店,133778.5446,143991.3054,186125.7952,165058.55030000,0.81049145
"2023-01-01","16874",社区店,22658.5266,42150.4600,53905.0812,48027.77060000,0.47177968
"2023-01-01","16875",社区店,21547.2912,59818.8040,71663.7464,65741.27520000,0.32775894
"2023-01-01","16876",社区店,54262.8062,68109.5754,89256.5194,78683.04740000,0.68963783
"2023-01-01","16877",社区店,38213.1924,33726.6324,79689.9000,56708.26620000,0.67385577
"2023-01-01","16879",社区店,31767.6088,40189.8000,48189.2912,44189.54560000,0.71889421
"2023-01-01","16880",社区店,42405.4384,72058.7266,102133.8508,87096.28870000,0.48687996
"2023-01-01","16881",社区店,50099.3880,51744.4620,39655.3740,45699.91800000,1.09626866
"2023-01-01","16883",院外店,96233.6394,349831.0120,371341.5726,360586.29230000,0.26688102
"2023-01-01","16884",院外店,48595.5840,78298.8180,116741.3340,97520.07600000,0.49831363
"2023-01-01","16885",社区店,73318.6356,61053.6772,74082.8232,67568.25020000,1.08510484
"2023-01-01","16887",社区店,51298.8810,86051.4270,112642.0860,99346.75650000,0.51636191
"2023-01-01","16890",社区店,26950.2438,30100.1744,42374.6462,36237.41030000,0.74371329
"2023-01-01","16892",院外店,7604.5600,16707.1600,26887.2800,21797.22000000,0.34887751
"2023-01-01","16893",社区店,181603.1660,23379.1660,53433.5632,38406.36460000,4.72846539
"2023-01-01","16894",社区店,18562.7002,22976.3368,36797.6526,29886.99470000,0.62109624
"2023-01-01","16895",社区店,8566.4000,9675.1000,15650.7000,12662.90000000,0.67649590
"2023-01-01","16896",社区店,17273.5020,57624.6000,78685.5000,68155.05000000,0.25344419
"2023-01-01","16898",社区店,65738.2780,20695.7120,27022.8140,23859.26300000,2.75525182
"2023-01-01","16899",社区店,90022.0080,36952.2720,96122.1240,66537.19800000,1.35295760
"2023-01-01","16900",社区店,30704.1000,70679.6032,81600.0432,76139.82320000,0.40325940
"2023-01-01","16901",社区店,32910.5280,32782.6580,35867.2720,34324.96500000,0.95879276
"2023-01-01","16902",社区店,33082.2400,34353.6400,35371.0000,34862.32000000,0.94893971
"2023-01-01","16903",社区店,24691.6620,17105.7780,37531.8510,27318.81450000,0.90383358
"2023-01-01","16904",社区店,41226.2680,47350.2596,64141.7542,55746.00690000,0.73953759
"2023-01-01","16906",社区店,55207.7316,27252.1520,31351.8434,29301.99770000,1.88409446
"2023-01-01","16907",社区店,127306.8654,65641.3268,63720.8814,64681.10410000,1.96822344
"2023-01-01","16908",社区店,59067.7040,61890.2818,89670.2138,75780.24780000,0.77946042
"2023-01-01","16910",社区店,78003.4332,47940.6216,70375.4132,59158.01740000,1.31856063
"2023-01-01","16911",社区店,31265.7660,61987.8390,83964.3030,72976.07100000,0.42843860
"2023-01-01","16913",社区店,96053.9988,143574.2616,157233.0108,150403.63620000,0.63864146
"2023-01-01","16914",社区店,73760.7372,50540.8560,56935.4188,53738.13740000,1.37259571
"2023-01-01","16917",社区店,122594.6000,38447.3000,76301.1180,57374.20900000,2.13675451
"2023-01-01","16918",社区店,30487.8964,28943.5592,57043.4028,42993.48100000,0.70912835
"2023-01-01","16919",社区店,18105.9400,25116.1600,30233.9666,27675.06330000,0.65423301
"2023-01-01","16920",社区店,85284.0264,4158.9396,21182.9466,12670.94310000,6.73067708
"2023-01-01","16921",社区店,28541.9980,51781.3000,63104.8800,57443.09000000,0.49687434
"2023-01-01","16922",社区店,81138.6600,55767.0400,74466.0300,65116.53500000,1.24605309
"2023-01-01","16924",社区店,75444.5022,47898.7096,50037.7074,48968.20850000,1.54068332
"2023-01-01","16928",社区店,24569.0660,19743.3900,35167.8240,27455.60700000,0.89486515
"2023-01-01","16930",社区店,199834.1000,145713.2000,156061.1000,150887.15000000,1.32439442
"2023-01-01","16933",院外店,41510.3800,53296.8080,57635.5080,55466.15800000,0.74839111
"2023-01-01","170559",社区店,10991.2720,15670.8260,55117.5540,35394.19000000,0.31053887
"2023-01-01","175268",院外店,11132.5600,41114.0000,48128.9400,44621.47000000,0.24948886
"2023-01-01","176166",院外店,16684.9498,42507.0346,70181.8848,56344.45970000,0.29612405
"2023-01-01","177278",院外店,21804.6168,135381.9800,155325.4032,145353.69160000,0.15001075
"2023-01-01","178668",社区店,9344.2120,46414.0580,54811.3132,50612.68560000,0.18462193
"2023-01-01","179249",社区店,8968.0880,27218.3160,37609.6280,32413.97200000,0.27667352
"2023-01-01","181624",社区店,12156.8840,42260.7920,49638.2080,45949.50000000,0.26457053
"2023-01-01","182399",社区店,12249.9642,15670.2160,29982.2680,22826.24200000,0.53666145
"2023-01-01","182985",社区店,7946.0720,16848.9500,22950.0180,19899.48400000,0.39931045
"2023-01-01","183039",社区店,28292.5350,56438.4270,88328.2620,72383.34450000,0.39087078
"2023-01-01","184054",社区店,35129.6922,45955.3800,69520.4508,57737.91540000,0.60843367
"2023-01-01","189606",社区店,22011.4436,56370.9360,78384.1700,67377.55300000,0.32668808
"2023-01-01","190106",院外店,12704.0600,35680.9348,51560.8748,43620.90480000,0.29123788
"2023-01-01","190375",社区店,29656.8060,62424.8760,93100.0200,77762.44800000,0.38137695
"2023-01-01","191398",社区店,21401.8148,23329.0600,73428.7816,48378.92080000,0.44237892
"2023-01-01","192925",社区店,50598.5960,42909.1780,80523.2260,61716.20200000,0.81985920
"2023-01-01","193138",社区店,10003.3760,12420.7520,30414.6760,21417.71400000,0.46706086
"2023-01-01","193416",社区店,10658.2320,30734.0000,42471.2420,36602.62100000,0.29118767
"2023-01-01","198166",院外店,10502.3840,41742.0000,53644.4560,47693.22800000,0.22020702
"2023-01-01","198757",院外店,34044.9460,36873.4900,56072.5440,46473.01700000,0.73257447
"2023-01-01","199489",院外店,2084.1900,8296.1500,11244.9600,9770.55500000,0.21331336
"2023-01-01","199507",社区店,92762.3360,27844.5760,50792.3476,39318.46180000,2.35925648
"2023-01-01","201010",社区店,5935.0080,15641.4520,20777.8840,18209.66800000,0.32592620
"2023-01-01","201113",社区店,31583.7140,34107.0620,44465.8680,39286.46500000,0.80393372
"2023-01-01","202020",社区店,48660.3000,38243.4000,55775.1000,47009.25000000,1.03512181
"2023-01-01","206516",社区店,27723.2280,79453.5600,92846.3320,86149.94600000,0.32180203
"2023-01-01","206688",社区店,9430.8680,19607.5626,29536.6946,24572.12860000,0.38380346
"2023-01-01","206718",社区店,3806.9300,11186.4800,18435.0900,14810.78500000,0.25703769
"2023-01-01","207313",社区店,11234.3200,25319.0000,38707.4800,32013.24000000,0.35092730
"2023-01-01","207321",社区店,12177.4386,15327.2694,26809.3306,21068.30000000,0.57799815
"2023-01-01","208556",社区店,46999.6800,53646.5600,61333.6400,57490.10000000,0.81752649
"2023-01-01","208696",社区店,20290.0288,55601.5234,64558.3538,60079.93860000,0.33771720
"2023-01-01","209415",社区店,5476.0000,6065.3600,27727.3600,16896.36000000,0.32409347
"2023-01-01","32797",院外店,12475.9700,20833.8620,32266.1904,26550.02620000,0.46990424
"2023-01-01","32821",院外店,21044.4090,44480.4566,54719.9474,49600.20200000,0.42428071
"2023-01-01","38696",社区店,40534.4918,85667.1540,87013.0262,86340.09010000,0.46947474
"2023-01-01","40505",社区店,105644.5100,63865.1620,67214.0180,65539.59000000,1.61191899
"2023-01-01","54878",社区店,27219.1520,35207.5260,54062.2740,44634.90000000,0.60981769
"2023-01-01","58158",社区店,209431.7880,143081.8560,270581.7080,206831.78200000,1.01257063
"2023-01-01","58700",社区店,45908.8026,45741.6980,52626.4954,49184.09670000,0.93340745
"2023-01-01","58722",社区店,20213.4816,29148.2216,32353.3800,30750.80080000,0.65733187
"2023-01-01","61216",非药品老店,8160.0000,4176.0000,8022.0000,6099.00000000,1.33792424
"2023-01-01","64079",非药品老店,,0.0000,21500.0000,10750.00000000,
"2023-01-01","64746",社区店,21392.3100,56787.1620,74250.5520,65518.85700000,0.32650615
"2023-01-01","68602",社区店,15388.1080,28052.9560,43204.8480,35628.90200000,0.43189958
"2023-01-01","74123",社区店,183173.4640,28357.1920,48021.7280,38189.46000000,4.79644027
"2023-01-01","79639",院外店,25893.3308,39753.3600,92436.6182,66094.98910000,0.39175936
"2023-01-01","97356",社区店,38134.5600,55822.0500,74204.4900,65013.27000000,0.58656578
"2023-01-01","97376",院外店,15382.6746,41194.9574,54402.8826,47798.92000000,0.32182054
"2023-01-01","98536",社区店,12273.6200,13970.0600,32182.0000,23076.03000000,0.53187745
"2023-02-01","109760",院外店,51562.4790,79969.6878,71107.0056,75538.34670000,0.68260004
"2023-02-01","128540",院外店,22887.1280,51268.9240,53533.1560,52401.04000000,0.43676858
"2023-02-01","130091",社区店,18513.3076,22061.2000,24254.8350,23158.01750000,0.79943404
"2023-02-01","154849",社区店,33672.5920,53584.2328,76396.5368,64990.38480000,0.51811651
"2023-02-01","163093",社区店,34778.7000,149106.8200,1537649.7140,843378.26700000,0.04123736
"2023-02-01","165872",院外店,11104.3400,43312.3400,45868.0000,44590.17000000,0.24903112
"2023-02-01","16864",社区店,35224.2400,35904.7120,35696.4720,35800.59200000,0.98390104
"2023-02-01","16865",社区店,82377.0664,67497.8800,58141.2610,62819.57050000,1.31132807
"2023-02-01","16866",社区店,36007.2170,152295.6290,158135.2616,155215.44530000,0.23198217
"2023-02-01","16867",社区店,43574.0950,19706.1400,17641.5250,18673.83250000,2.33343075
"2023-02-01","16869",院外店,78414.7200,242500.4800,220521.9756,231511.22780000,0.33870806
"2023-02-01","16870",社区店,142025.6016,179605.8208,240708.9738,210157.39730000,0.67580586
"2023-02-01","16874",社区店,15190.5870,19552.2000,29117.4418,24334.82090000,0.62423253
"2023-02-01","16875",社区店,20892.5640,19702.2760,21984.0320,20843.15400000,1.00237056
"2023-02-01","16876",社区店,53939.2612,67649.7054,43767.2622,55708.48380000,0.96824141
"2023-02-01","16877",社区店,29610.1104,52988.1600,45814.4796,49401.31980000,0.59937893
"2023-02-01","16879",社区店,32704.4820,40819.4912,38208.1584,39513.82480000,0.82767188
"2023-02-01","16880",社区店,72111.6318,72043.6826,107118.3040,89580.99330000,0.80498807
"2023-02-01","16881",社区店,22570.7706,31249.5240,34654.2534,32951.88870000,0.68496136
"2023-02-01","16883",院外店,68778.0760,354746.4724,369582.6364,362164.55440000,0.18990835
"2023-02-01","16884",院外店,25956.2721,96559.4340,87351.2883,91955.36115000,0.28227035
"2023-02-01","16885",社区店,51537.9886,59577.2860,61491.7462,60534.51610000,0.85138185
"2023-02-01","16887",社区店,38721.1500,97110.4680,100829.3280,98969.89800000,0.39124168
"2023-02-01","16890",社区店,34481.5036,35867.7670,38047.5792,36957.67310000,0.93299985
"2023-02-01","16892",院外店,6038.8000,11534.8000,12376.7800,11955.79000000,0.50509418
"2023-02-01","16893",社区店,157791.7146,36805.0000,40995.7460,38900.37300000,4.05630338
