"TABLE_NAME","COLUMN_NAME","CNTITLE","CNNAME","DATA_TYPE","DATA_LENGTH","DATA_PRECISION","DATA_SCALE","IS_PK"
"BASE_GATHER_ZONE","GATHERZONEID","集货区ID","集货区ID","NUMBER","22","12","0","Y"
"BASE_GATHER_ZONE","GATHERZONENO","集货区编码","集货区编码","VARCHAR2","200","","","N"
"BASE_GATHER_ZONE","GATHERZONE","集货区名称","集货区名称","VARCHAR2","200","","","N"
"BASE_GATHER_ZONE","ALLOCATEMETHOS","","","NUMBER","22","2","0","N"
"BASE_GATHER_ZONE","AUTOALLOCATE","","","NUMBER","22","1","0","N"
"BASE_GATHER_ZONE","USESTATUS","使用状态","使用状态","NUMBER","22","2","0","N"
"BASE_GATHER_ZONE","MEMO","备注","备注","VARCHAR2","200","","","N"
"BASE_GATHER_ZONE","WAREHID","物流中心ID","物流中心ID","NUMBER","22","12","0","N"
"BASE_GATHER_ZONE","SUBACKFLAG","","","VARCHAR2","2","","","N"
"BASE_GATHER_ZONE","SETID","","","NUMBER","22","12","0","N"
"BASE_GATHER_ZONE","EXCEPTIONFLAG","","","NUMBER","22","1","0","N"
"GSP_APPLIANCE_MANAGE_PERMIT","APPLIANCEID","许可证ID","许可证ID","NUMBER","22","10","0","Y"
"GSP_APPLIANCE_MANAGE_PERMIT","COMPANYID","单位ID","单位ID","NUMBER","22","10","0","N"
"GSP_APPLIANCE_MANAGE_PERMIT","APPLIANCENO","许可证号","许可证号","VARCHAR2","80","","","N"
"GSP_APPLIANCE_MANAGE_PERMIT","ADDRESS","注册地址","注册地址","VARCHAR2","100","","","N"
"GSP_APPLIANCE_MANAGE_PERMIT","MANAGEADDRESS","经营地址","经营地址","VARCHAR2","200","","","N"
"GSP_APPLIANCE_MANAGE_PERMIT","PRODUCTRAGE","产品范围","产品范围","VARCHAR2","200","","","N"
"GSP_APPLIANCE_MANAGE_PERMIT","SIGNDATE","发证日期","发证日期","DATE","7","","","N"
"GSP_APPLIANCE_MANAGE_PERMIT","VALIDONDATE","期限","期限","DATE","7","","","N"
"GSP_APPLIANCE_MANAGE_PERMIT","VALIDENDDATE","期限至","期限至","DATE","7","","","N"
"GSP_APPLIANCE_MANAGE_PERMIT","PRINCIPAL","负责人","负责人","VARCHAR2","40","","","N"
"GSP_APPLIANCE_MANAGE_PERMIT","CORPORATION","法定代表人","法定代表人","VARCHAR2","40","","","N"
"GSP_APPLIANCE_MANAGE_PERMIT","PICTURE","","","VARCHAR2","1000","","","N"
"GSP_APPLIANCE_MANAGE_PERMIT","CREDATE","录入日期","录入日期","DATE","7","","","N"
"GSP_APPLIANCE_MANAGE_PERMIT","INPUTMANID","录入人ID","录入人ID","NUMBER","22","10","0","N"
"GSP_APPLIANCE_MANAGE_PERMIT","USESTATUS","使用状态","使用状态","NUMBER","22","2","0","N"
"GSP_APPLIANCE_MANAGE_PERMIT","FILEGROUPID","图片","图片","NUMBER","22","10","0","N"
"GSP_APPLIANCE_PRODUCT_PERMIT","APPMITID","许可证ID","许可证ID","NUMBER","22","10","0","Y"
"GSP_APPLIANCE_PRODUCT_PERMIT","COMPANYID","单位ID","单位ID","NUMBER","22","10","0","N"
"GSP_APPLIANCE_PRODUCT_PERMIT","PERMITNO","许可证号","许可证号","VARCHAR2","80","","","N"
"GSP_APPLIANCE_PRODUCT_PERMIT","PRODUCTRAGE","生产范围","生产范围","VARCHAR2","200","","","N"
"GSP_APPLIANCE_PRODUCT_PERMIT","SIGNDATE","发证日期","发证日期","DATE","7","","","N"
"GSP_APPLIANCE_PRODUCT_PERMIT","VALIDONDATE","期限","期限","DATE","7","","","N"
"GSP_APPLIANCE_PRODUCT_PERMIT","VALIDENDDATE","期限至","期限至","DATE","7","","","N"
"GSP_APPLIANCE_PRODUCT_PERMIT","PRINCIPAL","负责人","负责人","VARCHAR2","40","","","N"
"GSP_APPLIANCE_PRODUCT_PERMIT","CORPORATION","法定代表人","法定代表人","VARCHAR2","40","","","N"
"GSP_APPLIANCE_PRODUCT_PERMIT","PICTURE","","","VARCHAR2","1000","","","N"
"GSP_APPLIANCE_PRODUCT_PERMIT","CREDATE","录入日期","录入日期","DATE","7","","","N"
"GSP_APPLIANCE_PRODUCT_PERMIT","INPUTMANID","录入人ID","录入人ID","NUMBER","22","10","0","N"
"GSP_APPLIANCE_PRODUCT_PERMIT","USESTATUS","使用状态","使用状态","NUMBER","22","2","0","N"
"GSP_APPLIANCE_PRODUCT_PERMIT","FILEGROUPID","图片","图片","NUMBER","22","10","0","N"
"GSP_CONSERVE","CONSERVEID","养护记录ID","养护记录ID","NUMBER","22","12","0","Y"
"GSP_CONSERVE","CREDATE","养护任务日期","养护任务日期","DATE","7","","","N"
"GSP_CONSERVE","GOODSOWNERID","货主ID","货主ID","NUMBER","22","12","0","N"
"GSP_CONSERVE","OWNERGOODSID","货主货品ID","货主货品ID","NUMBER","22","12","0","N"
"GSP_CONSERVE","GOODSID","货品主档ID","货品主档ID","NUMBER","22","12","0","N"
"GSP_CONSERVE","LOTID","批号ID","批号ID","NUMBER","22","12","0","N"
"GSP_CONSERVE","POSID","货位ID","货位ID","NUMBER","22","12","0","N"
"GSP_CONSERVE","GOODSQTY","在库数里","在库数里","NUMBER","22","16","6","N"
"GSP_CONSERVE","GOODSUNIT","单位","单位","VARCHAR2","10","","","N"
"GSP_CONSERVE","CONTENTS","养护内容","养护内容","VARCHAR2","500","","","N"
"GSP_CONSERVE","MATTER","发现问题","发现问题","VARCHAR2","500","","","N"
"GSP_CONSERVE","LASTCONSERVEDATE","上次养护日期","上次养护日期","DATE","7","","","N"
"GSP_CONSERVE","USESTATUS","状态","状态","NUMBER","22","1","0","N"
