"TABLENAME","CNNAME","KINDS","PKCOLUMN","MEMO"
"GSP_CORPORATION_CONSIGN_V","","2","",""
"GSP_CORPORATION_SHOPCARD_V","","2","",""
"GSP_DRUG_MANAGE_V","","2","",""
"GSP_EQUIPMENT_MAINTAIN_V","","2","",""
"GSP_EQUIPMENT_USED_V","","2","",""
"GSP_EQUIPMENT_V","","2","",""
"GSP_GOODSMAIN_V","","2","",""
"GSP_GOODS_UNQUALIFIED_V","","2","",""
"GSP_GSMP_PERMIT_V","","2","",""
"GSP_HEALTHY_PERMIT_V","","2","",""
"GSP_LIQUID_QUANLITY_CHECK_V","","2","",""
"GSP_MEDORG_CERTIFY_PERMIT_V","","2","",""
"GSP_MED_MANAGE_PERMIT_V","","2","",""
"GSP_MED_PRODUCT_PERMIT_V","","2","",""
"GSP_ORGANISE_CODE_PERMIT_V","","2","",""
"GSP_PERMIT_VALIDDATE_QUERY_V","","2","",""
"GSP_PHYSIC_QUALITY_CHECK_V","","2","",""
"GSP_QUALITY_FEEDBACK_V","","2","",""
"GSP_QUALITY_PROTOCOL_V","","2","",""
"GSP_SABACK_CHECK_V","","2","",""
"GSP_ST_CHECK_V","","2","",""
"GSP_ST_HUM_TEM_V","","2","",""
"GSP_ST_IO_RECORD_V","","2","",""
"GSP_TAX_REGISTRATION_V","","2","",""
"GS_EXPORT_FEEDBACK_V","","2","",""
"GS_PORDER_FEEDBACK_V","","2","",""
"HD_WMS_SECTION_TASK_LST_V","","2","",""
"HIS_HOSPITAL_V","","2","",""
"HIS_PDAOUT_DOC_V","","2","",""
"HIS_PURCHASEPLAN_DTL_V","","2","",""
"HIS_RECIEVE_TMP_V","","2","",""
"IMP_WMS_STQTY_DOC_V","","2","",""
"INF_G_OUT_T400_V","","2","",""
"NPBI_INSTANCE_V","","2","",""
"NPBI_VIEW_V","","2","",""
"NP_AUTHAREA_DEPT_V","","2","",""
"NP_AUTHAREA_HOV_AP_V","","2","",""
"NP_AUTHAREA_ROLEOP_V","","2","",""
"NP_AUTHAREA_ROLE_V","","2","",""
"NP_BI_ROLE_OP_V","","2","",""
"NP_EFILES_DIR_AUTH_V","","2","",""
"NP_EFILES_DIR_V","","2","",""
"NP_EFILES_FILE_AUTH_V","","2","",""
"NP_EFILES_FILE_V","","2","",""
"NP_EFILES_OP_V","","2","",""
"NP_EMPLOYEE_ROLE_V","","2","",""
"NP_HOV_AP_V","","2","",""
"NP_LOGIN_LOG_V","","2","",""
"NP_LOG_V","","2","",""
"NP_MESSAGE_ADMIN_V","","2","",""
"NP_MESSAGE_GROUP_USER_V","","2","",""
"NP_MESSAGE_MSGCENTER_V","","2","",""
"NP_MESSAGE_MYMSG_V","","2","",""
"NP_MESSAGE_QUEUE_V","","2","",""
"NP_MESSAGE_RECEIVED_V","","2","",""
"NP_MESSAGE_SEND_V","","2","",""
"NP_MESSAGE_V","","2","",""
"NP_PUB_DEPT_V","","2","",""
"NP_QF_INSTANCE_DTL_V","","2","",""
"NP_QF_INSTANCE_V","","2","",""
"NP_QF_INSTANCE_WAIT_V","","2","",""
"NP_QF_NODE_AUTH_V","","2","",""
"NP_REPORT_V","","2","",""
"NP_ROLE_OP_V","","2","",""
"NP_RUNOP_LOG_V","","2","",""
"NP_SHORTMSG_SETTING_V","","2","",""
"NP_USER_OP_V","","2","",""
