"waveid","wavedtlid","print_time","out_scatter_box_count","out_whole_qty"
4401681,9211692,"2024-01-02 12:00:07",6,0
4401681,9211693,"2024-01-02 12:00:10",4,0
4401681,9211694,"2024-01-02 12:00:13",1,0
4401681,9211695,"2024-01-02 12:00:16",2,0
4401681,9211696,"2024-01-02 12:00:19",2,0
4401681,9211697,"2024-01-02 12:00:22",1,0
4401681,9211698,"2024-01-02 12:00:26",1,0
4401681,9211699,"2024-01-02 12:00:29",1,0
4401681,9211700,"2024-01-02 12:00:32",5,2
4401681,9211702,"2024-01-02 12:00:38",2,0
4401681,9211703,"2024-01-02 12:00:41",2,0
4401681,9211704,"2024-01-02 12:00:44",3,0
4401681,9211705,"2024-01-02 12:00:47",1,2
4401681,9211706,"2024-01-02 12:00:50",1,0
4401681,9211707,"2024-01-02 12:00:53",1,2
4401681,9211708,"2024-01-02 12:00:56",2,0
4401681,9211709,"2024-01-02 12:00:59",0,2
4401682,9211731,"2024-01-02 12:01:02",1,0
4401684,9211738,"2024-01-02 12:01:05",5,1
4402755,9213685,"2024-01-02 12:01:11",1,0
4403332,9214591,"2024-01-02 12:02:30",1,0
4403332,9214592,"2024-01-02 12:02:33",1,0
4403335,9214595,"2024-01-02 12:02:36",1,0
4403335,9214596,"2024-01-02 12:02:39",1,0
4403960,9215641,"2024-01-02 14:36:13",1,0
4403960,9215642,"2024-01-02 14:43:18",1,0
4403960,9215636,"2024-01-02 14:55:09",1,0
4403960,9215634,"2024-01-02 14:55:34",1,0
4403960,9215639,"2024-01-02 14:56:34",1,0
4403960,9215635,"2024-01-02 15:01:12",1,0
4403960,9215645,"2024-01-02 15:11:18",1,0
4403960,9215646,"2024-01-02 15:33:33",1,0
4403960,9215644,"2024-01-02 15:35:33",1,0
4403960,9215637,"2024-01-02 15:36:10",3,0
4403960,9215633,"2024-01-02 15:36:47",2,0
4403027,9214145,"2024-01-02 15:38:24",3,6
4405358,9217823,"2024-01-02 15:57:28",1,0
4404643,9216657,"2024-01-02 16:25:11",1,0
4405143,9217499,"2024-01-02 17:12:34",1,0
4405716,9218433,"2024-01-02 17:22:06",1,0
4405625,9218236,"2024-01-02 17:24:37",1,0
4405716,9218432,"2024-01-02 17:25:15",1,0
4406199,9219233,"2024-01-02 18:45:29",1,0
4406195,9219229,"2024-01-02 19:04:33",1,0
4403960,9215640,"2024-01-03 12:23:39",2,0
4405678,9218392,"2024-01-03 12:23:42",1,0
4405678,9218397,"2024-01-03 12:23:45",2,0
4405678,9218398,"2024-01-03 12:23:48",1,2
4405678,9218402,"2024-01-03 12:23:51",1,0
4405678,9218404,"2024-01-03 12:23:55",2,0
4405678,9218407,"2024-01-03 12:23:58",4,0
4405678,9218408,"2024-01-03 12:24:01",1,0
4405678,9218409,"2024-01-03 12:24:04",3,0
4405678,9218411,"2024-01-03 12:24:07",13,0
4405678,9218413,"2024-01-03 12:24:10",2,0
4405678,9218414,"2024-01-03 12:24:13",3,0
4405678,9218415,"2024-01-03 12:24:16",2,0
4405678,9218418,"2024-01-03 12:24:19",2,2
4405678,9218421,"2024-01-03 12:24:22",3,0
4405678,9218422,"2024-01-03 12:24:25",1,0
